"Name","ID","State","Runtime","N_sensors","T","steps","Best sensor location","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"major-sweep-58","r4g56vgw","failed","39064","200","0.08","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[8,7,7,3,10,7,3,6,6,4,6,8,6,6,5,7,7,6,8,5,8,7,6,6,9,5,4,6,7,5,7,5]}","0.0078563978895545","0.9999983310699464","3223","185","6591","1"
"different-sweep-57","pdphmtbd","failed","73324","100","0.05","10000","{""values"":[5,3,3,2,4,5,3,2,2,4,4,5,4,3,1,5,3,3,4,4,6,1,2,3,1,2,2,2,3,3,3,3],""_type"":""histogram"",""bins"":[0,9.53125,19.0625,28.59375,38.125,47.65625,57.1875,66.71875,76.25,85.78125,95.3125,104.84375,114.375,123.90625,133.4375,142.96875,152.5,162.03125,171.5625,181.09375,190.625,200.15625,209.6875,219.21875,228.75,238.28125,247.8125,257.34375,266.875,276.40625,285.9375,295.46875,305]}","0.008031528443098068","0.999456822872162","6454","94","3443","9"
"smooth-sweep-56","z8ridnor","failed","92405","10","0.05","10000","[76,0,75,154,121,136,238,129,195,221]","0.02878520265221596","1.0017913579940796","9499","0","278","223"
"distinctive-sweep-55","0ibge8j6","failed","118023","10","0.04","10000","[24,36,210,32,121,280,143,207,56,106]","0.029698310419917107","0.9849311113357544","9440","0","285","275"
"clean-sweep-54","btfadz38","failed","109357","10","0.03","10000","[54,293,218,126,123,263,203,106,178,111]","0.028982039541006088","1.0010906457901","9334","0","341","325"
"lunar-sweep-53","0il0os7p","failed","113221","5","0.07","10000","[179,220,116,54,111]","0.03948168829083443","0.7575873136520386","9512","0","96","392"
"wild-sweep-52","bdbzgreb","failed","113050","5","0.06","10000","[54,120,121,111,220]","0.041576091200113297","0.9991626739501952","9420","0","66","514"
"logical-sweep-51","bb0ix0nz","finished","161862","5","0.05","10000","[111,260,123,220,12]","0.04822944104671478","0.9871960282325744","9331","0","66","603"
"fluent-sweep-50","49qxpltn","failed","160682","5","0.04","10000","[196,240,121,111,33]","0.05128367990255356","1.0406429767608645","9285","0","96","619"
"floral-sweep-49","0hb2u00x","failed","160554","5","0.03","10000","[111,261,116,210,66]","0.0353114940226078","0.9813271164894104","8889","0","82","1029"
"crimson-sweep-48","9ut3vak6","failed","166483","5","0.02","10000","[78,139,121,220,111]","0.04294918477535248","1.462391972541809","8469","0","47","1484"
"fiery-sweep-47","alkxmf3e","failed","162008","5","0.01","10000","[111,106,124,60,220]","0.04053685814142227","0.16772472858428955","7851","0","53","2096"
"expert-sweep-46","ms8dttep","finished","116294","100","0.1","10000","{""_type"":""histogram"",""bins"":[0,9.46875,18.9375,28.40625,37.875,47.34375,56.8125,66.28125,75.75,85.21875,94.6875,104.15625,113.625,123.09375,132.5625,142.03125,151.5,160.96875,170.4375,179.90625,189.375,198.84375,208.3125,217.78125,227.25,236.71875,246.1875,255.65625,265.125,274.59375,284.0625,293.53125,303],""values"":[2,2,5,1,5,3,5,2,1,4,4,3,1,2,5,3,4,4,2,3,3,3,2,6,3,5,3,3,2,2,3,4]}","0.014254669658839704","1.0000098943710327","6229","91","3675","5"
"astral-sweep-52","8ltokckp","finished","48353","200","0.07","10000","{""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[8,6,6,8,6,3,6,5,5,7,9,6,8,5,5,6,7,5,7,6,5,6,8,6,7,7,7,6,4,5,6,9]}","0.0065255663357675076","1","3168","225","6605","2"
"stellar-sweep-51","aak53i46","finished","47502","200","0.06","10000","{""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[8,6,6,8,6,3,6,5,5,7,9,6,8,5,5,6,7,5,7,6,5,6,8,6,7,7,7,6,4,5,6,9]}","0.0065255663357675076","1","3095","216","6686","3"
